Faculty,Department,Flight_Count,Total_Emissions,Total_Distance,Emissions_per_km
MDHS Reporting Division,MDHS,3894,8655907.457524091,4303341.31,2.011438748167547
Engineering and IT Reporting Division,FEIT,1816,4150502.466734525,1890480.9,2.1954744249119496
Chancellery Reporting Division,Chancellery,2912,3821869.846026424,2470827.9,1.5467972682461713
ARTS Reporting Division,ARTS,1631,3694690.040812294,1698955.96,2.174682644988805
SCI Reporting Division,SCI,1918,3670176.7605613773,1746593.52,2.1013342363490373
FBE Reporting Division,FBE,1227,3071735.7819100823,1531607.31,2.0055635422046154
UNIVERSITY GENERAL,University General,698,1999853.4836377697,949072.0599999999,2.107167166672012
-,Unspecified,744,1487773.9980064896,782384.84,1.9015884791511166
MGSE Reporting Division,FoE,634,1463533.277010496,716309.33,2.0431581939753545
MLS Reporting Division,Law,487,1142447.3832460323,574716.35,1.9878456272316463
ABP Reporting Division,ABP,403,950145.3708424523,429512.91,2.2121462445504894
FAM Reporting Division,FAM,387,914968.7996330496,379705.16,2.409682290419887
Veterinary and Agricultural Sciences Reporting Division,SCI,387,761515.2211344762,381512.4,1.9960431722126888
SUBSIDIARIES,Subsidiaries,106,201574.07727350108,101282.48,1.9902166423403247
Advancement Reporting Division,Chancellery,113,196008.6894700644,139882.46,1.4012385074587936
Faculty,Updated Faculty/Department names (SST),1,0.0,0.0,0.0
