Route,Flight_Count,Total_Emissions,Average_Distance,Emissions_per_Flight
-,1,0.0,10772.3,0.0
AAL/CPH,1,72.90226000284693,140.0,72.90226000284693
AAL/CPH/KEF,2,972.9738790530112,443.5,486.4869395265056
ABQ/DFW/SYD/MEL/LAX/ABQ,1,6583.458695863521,2594.0,6583.458695863521
ABX/BNE/SYD/ABX,3,480.868544165126,538.9833333333332,160.28951472170868
ABX/MEL,1,79.79841973284596,184.72,79.79841973284596
ABX/MEL/ABX,8,535.4000285549857,335.08,66.92500356937322
ABX/MEL/BNE/MEL/ABX,1,672.8854679863895,841.39,672.8854679863895
ABX/MEL/CBR/SYD/ABX,1,285.21618805120534,1644.69,285.21618805120534
ABX/MEL/SYD/ABX,1,0.0,0.0,0.0
ABX/SYD/ABX,9,1085.3417862806007,335.66333333333336,120.59353180895563
ABX/SYD/CBR/SYD/ABX,1,270.34396503578904,695.27,270.34396503578904
ABX/SYD/DPS/YIA/CGK/SYD/ABX,1,2685.967245340495,1329.0,2685.967245340495
ABX/SYD/MRZ/SYD/ABX,1,389.32174915911924,866.3000000000002,389.32174915911924
ACC/BJL_FNA/ACC,1,714.858186274342,620.0,714.858186274342
ACC/DXB/MEL/DXB/ACC,4,16332.069583893464,2015.25,4083.017395973366
ACC/IST/MEL,1,4409.224808831468,707.0,4409.224808831468
ACC/JNB/CPT,1,1335.9314668490358,893.0,1335.9314668490358
ACC/TML/ACC,1,184.41556539116175,453.0,184.41556539116175
ADD/DXB/MEL/DXB/ADD,1,6469.177606658243,3188.0,6469.177606658243
ADL/BNE,2,663.6316403323526,307.775,331.8158201661763
ADL/BNE/ADL,1,663.6316403323526,596.86,663.6316403323526
ADL/BNE/MEL,1,614.7185513038725,313.4000000000001,614.7185513038725
ADL/CBR,4,797.1511536263121,304.14750000000004,199.28778840657802
ADL/DOH/EDI/DOH/ADL,1,7588.119663623841,2192.0,7588.119663623841
ADL/DOH/IST/DOH/ADL,1,6313.668529575113,1838.0,6313.668529575113
ADL/DOH/LHR/DOH/ADL,1,7441.290162936047,680.0,7441.290162936047
ADL/DRW/GOV/CNS/MEL/ADL,1,0.0,390.66,0.0
ADL/DRW/GOV/DRW/ADL,1,1469.7416029438232,2303.42,1469.7416029438232
ADL/HBA/SYD/OOL,1,595.219414461438,311.31,595.219414461438
ADL/LST,1,0.0,16.28,0.0
ADL/MEL,128,15091.009940665283,194.529140625,117.89851516144752
ADL/MEL/ADL,75,18273.004678274792,407.49399999999997,243.64006237699724
ADL/MEL/HBA,1,0.0,0.0,0.0
