Route,Flight_Count,Total_Emissions,Average_Distance,Emissions_per_Flight
MEL/SYD/MEL,1170,311316.7056634557,364.86311111111115,266.08265441321
MEL/CBR/MEL,677,116963.05894397334,452.27599704579023,172.76670449626786
MEL/BNE/MEL,520,261027.9542296292,421.13065384615385,501.9768350569792
MEL/ADL/MEL,411,97111.4573187474,367.9389051094891,236.2809180504803
SYD/MEL,368,47602.65928505381,172.96777173913043,129.35505240503753
MEL/SYD,348,47240.07721309287,158.8668103448276,135.74734831348525
SYD/MEL/SYD,326,82922.52348417466,349.94404907975456,254.36356896986092
CBR/MEL,293,26056.1058050634,207.23542662116043,88.9286887544826
MEL/CBR,284,26200.859217285528,216.7425352112676,92.25654653973777
MEL/PER/MEL,260,283350.517647558,717.5751923076924,1089.8096832598385
