Route,Flight_Count,Total_Emissions,Average_Distance,Emissions_per_Flight
MEL/SIN/LHR/SIN/MEL,62,528624.0690424584,3284.8693548387096,8526.194661975136
MEL/LAX/MEL,72,390068.99895022745,2399.5041666666666,5417.624985419826
MEL/AUH/LHR/AUH/MEL,28,346761.8314559589,3810.3821428571428,12384.351123427103
MEL/SYD/MEL,1170,311316.7056634557,364.86311111111115,266.08265441321
MEL/SIN/MEL,100,305371.7086351623,1246.6244,3053.7170863516226
MEL/DEL/MEL,72,289236.16341618914,1807.127361111111,4017.16893633596
MEL/PER/MEL,260,283350.517647558,717.5751923076924,1089.8096832598385
MEL/HKG/MEL,82,276365.6335906953,1407.594756097561,3370.3126047645765
MEL/DXB/FCO/DXB/MEL,41,273833.20346519974,2310.951219512195,6678.858621102433
MEL/BNE/MEL,520,261027.9542296292,421.13065384615385,501.9768350569792
